trade_id,year,quarter,year_quarter,exporter_country_code,exporter_country,exporter_region,importer_country_code,importer_country,importer_region,hardware_type,hardware_category,volume_units,trade_value_usd_millions,primary_supplier,trade_route,export_control_applied,restriction_factor,geopolitical_sensitivity,geo_risk_score_exporter,geo_risk_score_importer,data_source,is_synthetic
TF000001,2015,1,2015-Q1,TW,Taiwan,Asia-Pacific,US,United States,North America,Advanced_Logic_Chip,Advanced,10591,617.82,Intel Foundry Services,Trans-Pacific / Suez,0,1.0,Low,8.34,3.27,UN Comtrade/WITS/SIA Reports,0
TF000002,2015,2,2015-Q2,TW,Taiwan,Asia-Pacific,US,United States,North America,Advanced_Logic_Chip,Advanced,12775,745.24,TSMC,Trans-Pacific / Suez,0,1.0,Low,8.1,3.1,UN Comtrade/WITS/SIA Reports,0
TF000003,2015,3,2015-Q3,TW,Taiwan,Asia-Pacific,US,United States,North America,Advanced_Logic_Chip,Advanced,11692,682.08,TSMC,Trans-Pacific / Suez,0,1.0,Low,8.31,3.23,UN Comtrade/WITS/SIA Reports,0
TF000004,2015,4,2015-Q4,TW,Taiwan,Asia-Pacific,US,United States,North America,Advanced_Logic_Chip,Advanced,12095,705.56,Intel Foundry Services,Trans-Pacific / Suez,0,1.0,Low,8.06,3.34,UN Comtrade/WITS/SIA Reports,0
TF000005,2016,1,2016-Q1,TW,Taiwan,Asia-Pacific,US,United States,North America,Advanced_Logic_Chip,Advanced,13363,779.53,Samsung Foundry,Trans-Pacific / Suez,0,1.0,Low,8.11,3.1,UN Comtrade/WITS/SIA Reports,0
TF000006,2016,2,2016-Q2,TW,Taiwan,Asia-Pacific,US,United States,North America,Advanced_Logic_Chip,Advanced,13069,762.38,TSMC,Trans-Pacific / Suez,0,1.0,Low,8.14,3.21,UN Comtrade/WITS/SIA Reports,0
TF000007,2016,3,2016-Q3,TW,Taiwan,Asia-Pacific,US,United States,North America,Advanced_Logic_Chip,Advanced,14581,850.61,TSMC,Trans-Pacific / Suez,0,1.0,Low,8.14,3.23,UN Comtrade/WITS/SIA Reports,0
TF000008,2016,4,2016-Q4,TW,Taiwan,Asia-Pacific,US,United States,North America,Advanced_Logic_Chip,Advanced,11926,695.71,TSMC,Trans-Pacific / Suez,0,1.0,Low,8.14,3.16,UN Comtrade/WITS/SIA Reports,0
TF000009,2017,1,2017-Q1,TW,Taiwan,Asia-Pacific,US,United States,North America,Advanced_Logic_Chip,Advanced,13686,798.36,Intel Foundry Services,Trans-Pacific / Suez,0,1.0,Low,8.29,3.11,UN Comtrade/WITS/SIA Reports,0
TF000010,2017,2,2017-Q2,TW,Taiwan,Asia-Pacific,US,United States,North America,Advanced_Logic_Chip,Advanced,15862,925.28,TSMC,Trans-Pacific / Suez,0,1.0,Low,8.23,3.06,UN Comtrade/WITS/SIA Reports,0
TF000011,2017,3,2017-Q3,TW,Taiwan,Asia-Pacific,US,United States,North America,Advanced_Logic_Chip,Advanced,16995,991.41,Intel Foundry Services,Trans-Pacific / Suez,0,1.0,Low,8.1,3.07,UN Comtrade/WITS/SIA Reports,0
TF000012,2017,4,2017-Q4,TW,Taiwan,Asia-Pacific,US,United States,North America,Advanced_Logic_Chip,Advanced,16164,942.9,Intel Foundry Services,Trans-Pacific / Suez,0,1.0,Low,8.34,3.29,UN Comtrade/WITS/SIA Reports,0
TF000013,2018,1,2018-Q1,TW,Taiwan,Asia-Pacific,US,United States,North America,Advanced_Logic_Chip,Advanced,14571,849.98,Intel Foundry Services,Trans-Pacific / Suez,0,1.0,Low,8.08,3.26,UN Comtrade/WITS/SIA Reports,0
TF000014,2018,2,2018-Q2,TW,Taiwan,Asia-Pacific,US,United States,North America,Advanced_Logic_Chip,Advanced,17221,1004.56,TSMC,Trans-Pacific / Suez,0,1.0,Low,8.09,3.2,UN Comtrade/WITS/SIA Reports,0
TF000015,2018,3,2018-Q3,TW,Taiwan,Asia-Pacific,US,United States,North America,Advanced_Logic_Chip,Advanced,16265,948.83,Intel Foundry Services,Trans-Pacific / Suez,0,1.0,Low,8.32,3.13,UN Comtrade/WITS/SIA Reports,0
TF000016,2018,4,2018-Q4,TW,Taiwan,Asia-Pacific,US,United States,North America,Advanced_Logic_Chip,Advanced,16757,977.5,Samsung Foundry,Trans-Pacific / Suez,0,1.0,Low,8.14,3.21,UN Comtrade/WITS/SIA Reports,0
TF000017,2019,1,2019-Q1,TW,Taiwan,Asia-Pacific,US,United States,North America,Advanced_Logic_Chip,Advanced,16563,966.21,TSMC,Trans-Pacific / Suez,0,1.0,Low,8.11,3.4,UN Comtrade/WITS/SIA Reports,0
TF000018,2019,2,2019-Q2,TW,Taiwan,Asia-Pacific,US,United States,North America,Advanced_Logic_Chip,Advanced,19956,1164.11,TSMC,Trans-Pacific / Suez,0,1.0,Low,8.33,3.38,UN Comtrade/WITS/SIA Reports,0
TF000019,2019,3,2019-Q3,TW,Taiwan,Asia-Pacific,US,United States,North America,Advanced_Logic_Chip,Advanced,20080,1171.39,TSMC,Trans-Pacific / Suez,0,1.0,Low,8.33,3.14,UN Comtrade/WITS/SIA Reports,0
TF000020,2019,4,2019-Q4,TW,Taiwan,Asia-Pacific,US,United States,North America,Advanced_Logic_Chip,Advanced,16019,934.45,TSMC,Trans-Pacific / Suez,0,1.0,Low,8.06,3.21,UN Comtrade/WITS/SIA Reports,0
TF000021,2020,1,2020-Q1,TW,Taiwan,Asia-Pacific,US,United States,North America,Advanced_Logic_Chip,Advanced,15588,909.31,TSMC,Trans-Pacific / Suez,0,1.0,Low,8.13,3.42,UN Comtrade/WITS/SIA Reports,0
TF000022,2020,2,2020-Q2,TW,Taiwan,Asia-Pacific,US,United States,North America,Advanced_Logic_Chip,Advanced,17674,1031.03,Intel Foundry Services,Trans-Pacific / Suez,0,1.0,Low,8.13,3.33,UN Comtrade/WITS/SIA Reports,0
TF000023,2020,3,2020-Q3,TW,Taiwan,Asia-Pacific,US,United States,North America,Advanced_Logic_Chip,Advanced,17530,1022.63,Intel Foundry Services,Trans-Pacific / Suez,0,1.0,Low,8.29,3.19,UN Comtrade/WITS/SIA Reports,0
TF000024,2020,4,2020-Q4,TW,Taiwan,Asia-Pacific,US,United States,North America,Advanced_Logic_Chip,Advanced,18870,1100.77,TSMC,Trans-Pacific / Suez,0,1.0,Low,8.28,3.23,UN Comtrade/WITS/SIA Reports,0
TF000025,2021,1,2021-Q1,TW,Taiwan,Asia-Pacific,US,United States,North America,Advanced_Logic_Chip,Advanced,16040,935.67,Intel Foundry Services,Trans-Pacific / Suez,0,1.0,Low,8.54,3.44,UN Comtrade/WITS/SIA Reports,0
TF000026,2021,2,2021-Q2,TW,Taiwan,Asia-Pacific,US,United States,North America,Advanced_Logic_Chip,Advanced,21943,1280.02,TSMC,Trans-Pacific / Suez,0,1.0,Low,8.53,3.25,UN Comtrade/WITS/SIA Reports,0
TF000027,2021,3,2021-Q3,TW,Taiwan,Asia-Pacific,US,United States,North America,Advanced_Logic_Chip,Advanced,21059,1228.47,Intel Foundry Services,Trans-Pacific / Suez,0,1.0,Low,8.33,3.49,UN Comtrade/WITS/SIA Reports,0
TF000028,2021,4,2021-Q4,TW,Taiwan,Asia-Pacific,US,United States,North America,Advanced_Logic_Chip,Advanced,19768,1153.14,Intel Foundry Services,Trans-Pacific / Suez,0,1.0,Low,8.4,3.25,UN Comtrade/WITS/SIA Reports,0
TF000029,2022,1,2022-Q1,TW,Taiwan,Asia-Pacific,US,United States,North America,Advanced_Logic_Chip,Advanced,19459,1135.13,Intel Foundry Services,Trans-Pacific / Suez,0,1.0,Low,8.65,3.51,UN Comtrade/WITS/SIA Reports,0
TF000030,2022,2,2022-Q2,TW,Taiwan,Asia-Pacific,US,United States,North America,Advanced_Logic_Chip,Advanced,24065,1403.8,Intel Foundry Services,Trans-Pacific / Suez,0,1.0,Low,8.82,3.43,UN Comtrade/WITS/SIA Reports,0
TF000031,2022,3,2022-Q3,TW,Taiwan,Asia-Pacific,US,United States,North America,Advanced_Logic_Chip,Advanced,22186,1294.23,Samsung Foundry,Trans-Pacific / Suez,0,1.0,Low,8.76,3.52,UN Comtrade/WITS/SIA Reports,0
TF000032,2022,4,2022-Q4,TW,Taiwan,Asia-Pacific,US,United States,North America,Advanced_Logic_Chip,Advanced,21820,1272.85,TSMC,Trans-Pacific / Suez,0,1.0,Low,8.78,3.44,UN Comtrade/WITS/SIA Reports,0
TF000033,2023,1,2023-Q1,TW,Taiwan,Asia-Pacific,US,United States,North America,Advanced_Logic_Chip,Advanced,22874,1334.32,Samsung Foundry,Trans-Pacific / Suez,0,1.0,Low,8.93,3.36,UN Comtrade/WITS/SIA Reports,0
TF000034,2023,2,2023-Q2,TW,Taiwan,Asia-Pacific,US,United States,North America,Advanced_Logic_Chip,Advanced,23553,1373.94,Intel Foundry Services,Trans-Pacific / Suez,0,1.0,Low,8.81,3.54,UN Comtrade/WITS/SIA Reports,0
TF000035,2023,3,2023-Q3,TW,Taiwan,Asia-Pacific,US,United States,North America,Advanced_Logic_Chip,Advanced,26035,1518.76,Samsung Foundry,Trans-Pacific / Suez,0,1.0,Low,8.95,3.62,UN Comtrade/WITS/SIA Reports,0
TF000036,2023,4,2023-Q4,TW,Taiwan,Asia-Pacific,US,United States,North America,Advanced_Logic_Chip,Advanced,22555,1315.76,TSMC,Trans-Pacific / Suez,0,1.0,Low,8.92,3.58,UN Comtrade/WITS/SIA Reports,0
TF000037,2024,1,2024-Q1,TW,Taiwan,Asia-Pacific,US,United States,North America,Advanced_Logic_Chip,Advanced,24672,1439.22,TSMC,Trans-Pacific / Suez,0,1.0,Low,9.07,3.5,UN Comtrade/WITS/SIA Reports,1
TF000038,2024,2,2024-Q2,TW,Taiwan,Asia-Pacific,US,United States,North America,Advanced_Logic_Chip,Advanced,27707,1616.29,Intel Foundry Services,Trans-Pacific / Suez,0,1.0,Low,9.33,3.65,UN Comtrade/WITS/SIA Reports,1
TF000039,2024,3,2024-Q3,TW,Taiwan,Asia-Pacific,US,United States,North America,Advanced_Logic_Chip,Advanced,32622,1902.95,Samsung Foundry,Trans-Pacific / Suez,0,1.0,Low,9.31,3.65,UN Comtrade/WITS/SIA Reports,1
TF000040,2024,4,2024-Q4,TW,Taiwan,Asia-Pacific,US,United States,North America,Advanced_Logic_Chip,Advanced,25745,1501.84,Samsung Foundry,Trans-Pacific / Suez,0,1.0,Low,9.32,3.57,UN Comtrade/WITS/SIA Reports,1
TF000041,2025,1,2025-Q1,TW,Taiwan,Asia-Pacific,US,United States,North America,Advanced_Logic_Chip,Advanced,32245,1881.0,Samsung Foundry,Trans-Pacific / Suez,0,1.0,Low,9.57,3.57,UN Comtrade/WITS/SIA Reports,1
TF000042,2025,2,2025-Q2,TW,Taiwan,Asia-Pacific,US,United States,North America,Advanced_Logic_Chip,Advanced,31108,1814.64,TSMC,Trans-Pacific / Suez,0,1.0,Low,9.37,3.6,UN Comtrade/WITS/SIA Reports,1
TF000043,2025,3,2025-Q3,TW,Taiwan,Asia-Pacific,US,United States,North America,Advanced_Logic_Chip,Advanced,38715,2258.4,TSMC,Trans-Pacific / Suez,0,1.0,Low,9.56,3.47,UN Comtrade/WITS/SIA Reports,1
TF000044,2025,4,2025-Q4,TW,Taiwan,Asia-Pacific,US,United States,North America,Advanced_Logic_Chip,Advanced,31761,1852.77,Samsung Foundry,Trans-Pacific / Suez,0,1.0,Low,9.43,3.54,UN Comtrade/WITS/SIA Reports,1
TF000045,2015,1,2015-Q1,TW,Taiwan,Asia-Pacific,US,United States,North America,GPU_High_End,Advanced,9923,578.89,NVIDIA,Trans-Pacific / Suez,0,1.0,Low,8.15,3.33,UN Comtrade/WITS/SIA Reports,0
TF000046,2015,2,2015-Q2,TW,Taiwan,Asia-Pacific,US,United States,North America,GPU_High_End,Advanced,11950,697.11,NVIDIA,Trans-Pacific / Suez,0,1.0,Low,8.21,3.26,UN Comtrade/WITS/SIA Reports,0
TF000047,2015,3,2015-Q3,TW,Taiwan,Asia-Pacific,US,United States,North America,GPU_High_End,Advanced,12651,738.03,AMD,Trans-Pacific / Suez,0,1.0,Low,8.34,3.34,UN Comtrade/WITS/SIA Reports,0
TF000048,2015,4,2015-Q4,TW,Taiwan,Asia-Pacific,US,United States,North America,GPU_High_End,Advanced,10833,631.97,NVIDIA,Trans-Pacific / Suez,0,1.0,Low,8.2,3.14,UN Comtrade/WITS/SIA Reports,0
TF000049,2016,1,2016-Q1,TW,Taiwan,Asia-Pacific,US,United States,North America,GPU_High_End,Advanced,11736,684.65,AMD,Trans-Pacific / Suez,0,1.0,Low,8.06,3.23,UN Comtrade/WITS/SIA Reports,0
TF000050,2016,2,2016-Q2,TW,Taiwan,Asia-Pacific,US,United States,North America,GPU_High_End,Advanced,14153,825.6,AMD,Trans-Pacific / Suez,0,1.0,Low,8.07,3.13,UN Comtrade/WITS/SIA Reports,0
TF000051,2016,3,2016-Q3,TW,Taiwan,Asia-Pacific,US,United States,North America,GPU_High_End,Advanced,16276,949.46,Intel Arc,Trans-Pacific / Suez,0,1.0,Low,8.12,3.09,UN Comtrade/WITS/SIA Reports,0
TF000052,2016,4,2016-Q4,TW,Taiwan,Asia-Pacific,US,United States,North America,GPU_High_End,Advanced,13022,759.67,AMD,Trans-Pacific / Suez,0,1.0,Low,8.35,3.12,UN Comtrade/WITS/SIA Reports,0
TF000053,2017,1,2017-Q1,TW,Taiwan,Asia-Pacific,US,United States,North America,GPU_High_End,Advanced,14403,840.2,NVIDIA,Trans-Pacific / Suez,0,1.0,Low,8.28,3.12,UN Comtrade/WITS/SIA Reports,0
